model,panel,n,variable,window,RR,low,high
a. Absolute conditions,Minnesota,85,Temperature,Lag 0-7 days,1.32,0.88,1.98
a. Absolute conditions,Minnesota,85,Precipitation,Lag 0-7 days,0.8,0.56,1.16
a. Absolute conditions,Minnesota,85,Soil moisture,Lag 0-7 days,0.92,0.56,1.51
a. Absolute conditions,Minnesota,85,Wind speed,Lag 0-7 days,0.89,0.68,1.17
a. Absolute conditions,Minnesota,85,Runoff,Lag 0-7 days,1,0.69,1.44
a. Absolute conditions,Minnesota,85,Anseriformes,Lag 0-7 days,0.86,0.6,1.24
a. Absolute conditions,Minnesota,85,Temperature,Lag 8-14 days,1.07,0.86,1.32
a. Absolute conditions,Minnesota,85,Precipitation,Lag 8-14 days,0.85,0.67,1.09
a. Absolute conditions,Minnesota,85,Soil moisture,Lag 8-14 days,0.86,0.63,1.18
a. Absolute conditions,Minnesota,85,Wind speed,Lag 8-14 days,0.97,0.81,1.16
a. Absolute conditions,Minnesota,85,Runoff,Lag 8-14 days,1.02,0.81,1.28
a. Absolute conditions,Minnesota,85,Anseriformes,Lag 8-14 days,1.23,1.04,1.44
a. Absolute conditions,Minnesota,85,Temperature,Lag 15-21 days,0.9,0.68,1.2
a. Absolute conditions,Minnesota,85,Precipitation,Lag 15-21 days,0.88,0.69,1.11
a. Absolute conditions,Minnesota,85,Soil moisture,Lag 15-21 days,0.81,0.59,1.09
a. Absolute conditions,Minnesota,85,Wind speed,Lag 15-21 days,1.03,0.86,1.23
a. Absolute conditions,Minnesota,85,Runoff,Lag 15-21 days,1.04,0.83,1.29
a. Absolute conditions,Minnesota,85,Anseriformes,Lag 15-21 days,1.68,1.31,2.14
a. Absolute conditions,Minnesota,85,Temperature,Lag 22-28 days,0.77,0.48,1.23
a. Absolute conditions,Minnesota,85,Precipitation,Lag 22-28 days,0.9,0.67,1.22
a. Absolute conditions,Minnesota,85,Soil moisture,Lag 22-28 days,0.75,0.5,1.12
a. Absolute conditions,Minnesota,85,Wind speed,Lag 22-28 days,1.09,0.86,1.39
a. Absolute conditions,Minnesota,85,Runoff,Lag 22-28 days,1.05,0.79,1.41
a. Absolute conditions,Minnesota,85,Anseriformes,Lag 22-28 days,2.29,1.47,3.57
a. Absolute conditions,Other flyway states,90,Temperature,Lag 0-7 days,0.94,0.67,1.32
a. Absolute conditions,Other flyway states,90,Precipitation,Lag 0-7 days,0.92,0.62,1.38
a. Absolute conditions,Other flyway states,90,Soil moisture,Lag 0-7 days,1.13,0.73,1.74
a. Absolute conditions,Other flyway states,90,Wind speed,Lag 0-7 days,1.08,0.82,1.42
a. Absolute conditions,Other flyway states,90,Runoff,Lag 0-7 days,0.87,0.53,1.43
a. Absolute conditions,Other flyway states,90,Anseriformes,Lag 0-7 days,0.97,0.76,1.23
a. Absolute conditions,Other flyway states,90,Temperature,Lag 8-14 days,0.96,0.79,1.16
a. Absolute conditions,Other flyway states,90,Precipitation,Lag 8-14 days,1.11,0.85,1.45
a. Absolute conditions,Other flyway states,90,Soil moisture,Lag 8-14 days,1.07,0.82,1.41
a. Absolute conditions,Other flyway states,90,Wind speed,Lag 8-14 days,1.03,0.86,1.24
a. Absolute conditions,Other flyway states,90,Runoff,Lag 8-14 days,0.92,0.67,1.26
a. Absolute conditions,Other flyway states,90,Anseriformes,Lag 8-14 days,1.04,0.91,1.2
a. Absolute conditions,Other flyway states,90,Temperature,Lag 15-21 days,0.97,0.76,1.24
a. Absolute conditions,Other flyway states,90,Precipitation,Lag 15-21 days,1.31,1.01,1.71
a. Absolute conditions,Other flyway states,90,Soil moisture,Lag 15-21 days,1.04,0.77,1.39
a. Absolute conditions,Other flyway states,90,Wind speed,Lag 15-21 days,0.99,0.82,1.2
a. Absolute conditions,Other flyway states,90,Runoff,Lag 15-21 days,0.95,0.7,1.29
a. Absolute conditions,Other flyway states,90,Anseriformes,Lag 15-21 days,1.12,0.98,1.27
a. Absolute conditions,Other flyway states,90,Temperature,Lag 22-28 days,0.98,0.66,1.45
a. Absolute conditions,Other flyway states,90,Precipitation,Lag 22-28 days,1.55,1.1,2.19
a. Absolute conditions,Other flyway states,90,Soil moisture,Lag 22-28 days,1,0.66,1.52
a. Absolute conditions,Other flyway states,90,Wind speed,Lag 22-28 days,0.95,0.74,1.23
a. Absolute conditions,Other flyway states,90,Runoff,Lag 22-28 days,0.98,0.65,1.48
a. Absolute conditions,Other flyway states,90,Anseriformes,Lag 22-28 days,1.19,0.99,1.45
a. Absolute conditions,Pooled,175,Temperature,Lag 0-7 days,1.06,0.81,1.38
a. Absolute conditions,Pooled,175,Precipitation,Lag 0-7 days,0.81,0.61,1.08
