Kind,Panel,Exposure,Window,n,group,RR,low,high
Absolute conditions,Minnesota,Temperature,Lag 0-7 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.23,0.78,1.94
Absolute conditions,Minnesota,Temperature,Lag 8-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.14,0.64,1.99
Absolute conditions,Minnesota,Temperature,Lag 0-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.41,0.61,3.28
Absolute conditions,Minnesota,Precipitation,Lag 0-7 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.84,0.55,1.27
Absolute conditions,Minnesota,Precipitation,Lag 8-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.6,0.38,0.93
Absolute conditions,Minnesota,Precipitation,Lag 0-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.5,0.23,1.06
Absolute conditions,Minnesota,Soil moisture,Lag 0-7 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.93,0.58,1.51
Absolute conditions,Minnesota,Soil moisture,Lag 8-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.91,0.56,1.47
Absolute conditions,Minnesota,Soil moisture,Lag 0-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.85,0.38,1.89
Absolute conditions,Minnesota,Wind speed,Lag 0-7 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.92,0.68,1.24
Absolute conditions,Minnesota,Wind speed,Lag 8-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.02,0.72,1.44
Absolute conditions,Minnesota,Wind speed,Lag 0-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.95,0.53,1.71
Absolute conditions,Minnesota,Runoff,Lag 0-7 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.08,0.69,1.66
Absolute conditions,Minnesota,Runoff,Lag 8-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.27,0.77,2.11
Absolute conditions,Minnesota,Runoff,Lag 0-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.38,0.57,3.22
Absolute conditions,Other northern Mississippi Flyway states,Temperature,Lag 0-7 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.9,0.62,1.28
Absolute conditions,Other northern Mississippi Flyway states,Temperature,Lag 8-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.01,0.68,1.55
Absolute conditions,Other northern Mississippi Flyway states,Temperature,Lag 0-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.91,0.5,1.67
Absolute conditions,Other northern Mississippi Flyway states,Precipitation,Lag 0-7 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.02,0.66,1.59
Absolute conditions,Other northern Mississippi Flyway states,Precipitation,Lag 8-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.93,0.59,1.44
Absolute conditions,Other northern Mississippi Flyway states,Precipitation,Lag 0-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.94,0.43,2.02
Absolute conditions,Other northern Mississippi Flyway states,Soil moisture,Lag 0-7 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.22,0.82,1.87
Absolute conditions,Other northern Mississippi Flyway states,Soil moisture,Lag 8-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.42,0.9,2.25
Absolute conditions,Other northern Mississippi Flyway states,Soil moisture,Lag 0-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.77,0.85,3.59
Absolute conditions,Other northern Mississippi Flyway states,Wind speed,Lag 0-7 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.13,0.87,1.47
Absolute conditions,Other northern Mississippi Flyway states,Wind speed,Lag 8-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.19,0.88,1.62
Absolute conditions,Other northern Mississippi Flyway states,Wind speed,Lag 0-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.34,0.82,2.22
Absolute conditions,Other northern Mississippi Flyway states,Runoff,Lag 0-7 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.98,0.56,1.74
