zone_id,state,layer
"-2,261",Minnesota,case
"-2,285",Minnesota,case
"-3,243",Minnesota,case
"-4,250",Minnesota,case
"-4,264",Minnesota,case
"0,239",Minnesota,case
"0,246",Minnesota,case
"0,254",Minnesota,case
"0,258",Minnesota,case
"0,264",Minnesota,case
"1,241",Minnesota,case
"1,248",Minnesota,case
"1,262",Minnesota,case
"1,263",Minnesota,case
"1,264",Minnesota,case
"1,274",Minnesota,case
"10,247",Minnesota,case
"10,254",Minnesota,case
"10,255",Minnesota,case
"10,258",Minnesota,case
"100,236",Michigan,case
"102,227",Michigan,case
"103,229",Michigan,case
"103,236",Michigan,case
"105,226",Michigan,case
"105,227",Michigan,case
"105,228",Michigan,case
"107,196",Ohio,case
"11,235",Minnesota,case
"11,247",Minnesota,case
"11,255",Minnesota,case
"114,205",Ohio,case
"12,197",Iowa,case
"12,207",Iowa,case
"12,223",Iowa,case
"12,235",Minnesota,case
"12,246",Minnesota,case
"12,249",Minnesota,case
"12,250",Minnesota,case
"12,254",Minnesota,case
"120,212",Ohio,case
"13,218",Iowa,case
"13,258",Minnesota,case
"14,251",Minnesota,case
"14,254",Minnesota,case
"14,255",Minnesota,case
"15,206",Iowa,case
"15,255",Minnesota,case
"16,242",Minnesota,case
"16,243",Minnesota,case
"17,233",Minnesota,case
"17,237",Minnesota,case
"17,245",Minnesota,case
"18,204",Iowa,case
"19,214",Iowa,case
"19,218",Iowa,case
"19,233",Minnesota,case
"19,269",Minnesota,case
"20,248",Minnesota,case
"21,214",Iowa,case
"21,220",Iowa,case
"21,231",Minnesota,case
"22,236",Minnesota,case
"22,239",Minnesota,case
"23,249",Minnesota,case
"23,250",Minnesota,case
"23,252",Minnesota,case
"24,230",Minnesota,case
"24,233",Minnesota,case
"24,234",Minnesota,case
"25,248",Wisconsin,case
"25,249",Wisconsin,case
"26,241",Wisconsin,case
"27,244",Wisconsin,case
"27,249",Wisconsin,case
"27,250",Wisconsin,case
"29,251",Wisconsin,case
"3,201",Iowa,case
"3,248",Minnesota,case
"3,252",Minnesota,case
"3,260",Minnesota,case
"30,247",Wisconsin,case
"31,220",Iowa,case
"31,250",Wisconsin,case
"32,245",Wisconsin,case
"32,250",Wisconsin,case
"33,246",Wisconsin,case
"33,250",Wisconsin,case
"34,263",Wisconsin,case
"4,218",Iowa,case
"4,226",Iowa,case
"4,248",Minnesota,case
"4,249",Minnesota,case
"4,258",Minnesota,case
"4,261",Minnesota,case
"40,203",Illinois,case
"45,245",Wisconsin,case
"47,230",Wisconsin,case
"49,212",Illinois,case
"5,216",Iowa,case
"5,246",Minnesota,case
"51,230",Wisconsin,case
"52,173",Illinois,case
"56,221",Wisconsin,case
"57,234",Wisconsin,case
"59,217",Illinois,case
"59,223",Wisconsin,case
"59,226",Wisconsin,case
"6,245",Minnesota,case
"6,246",Minnesota,case
"60,198",Illinois,case
"61,206",Illinois,case
"62,215",Illinois,case
"62,225",Wisconsin,case
"62,228",Wisconsin,case
"63,222",Wisconsin,case
"63,246",Wisconsin,case
"64,222",Wisconsin,case
"65,247",Wisconsin,case
"65,249",Wisconsin,case
"65,251",Wisconsin,case
"65,255",Michigan,case
"7,216",Iowa,case
"7,237",Minnesota,case
"7,240",Minnesota,case
"7,244",Minnesota,case
"7,245",Minnesota,case
"7,249",Minnesota,case
"7,264",Minnesota,case
"76,180",Indiana,case
"77,180",Indiana,case
"78,173",Indiana,case
"78,175",Indiana,case
"8,218",Iowa,case
"8,219",Iowa,case
"8,220",Iowa,case
"8,249",Minnesota,case
"8,250",Minnesota,case
"8,252",Minnesota,case
"8,253",Minnesota,case
"81,229",Michigan,case
"82,211",Indiana,case
"82,240",Michigan,case
"83,187",Indiana,case
"84,211",Indiana,case
"86,220",Michigan,case
"9,246",Minnesota,case
"9,250",Minnesota,case
"9,251",Minnesota,case
"90,207",Indiana,case
"91,204",Indiana,case
"91,206",Indiana,case
"91,215",Michigan,case
"93,208",Ohio,case
"93,223",Michigan,case
"94,232",Michigan,case
"95,210",Ohio,case
"96,225",Michigan,case
"98,187",Ohio,case
"98,202",Ohio,case
"99,227",Michigan,case
