zone_id,layer
"-2,261",case
"-2,285",case
"-3,243",case
"-4,250",case
"-4,264",case
"0,239",case
"0,246",case
"0,254",case
"0,258",case
"0,264",case
"1,241",case
"1,248",case
"1,262",case
"1,263",case
"1,264",case
"1,274",case
"10,247",case
"10,254",case
"10,255",case
"10,258",case
"11,235",case
"11,247",case
"11,255",case
"12,235",case
"12,246",case
"12,249",case
"12,250",case
"12,254",case
"13,258",case
"14,251",case
"14,254",case
"14,255",case
"15,255",case
"16,242",case
"16,243",case
"17,233",case
"17,237",case
"17,245",case
"19,233",case
"19,269",case
"20,248",case
"21,231",case
"22,236",case
"22,239",case
"23,249",case
"23,250",case
"23,252",case
"24,230",case
"24,233",case
"24,234",case
"3,248",case
"3,252",case
"3,260",case
"4,248",case
"4,249",case
"4,258",case
"4,261",case
"5,246",case
"6,245",case
"6,246",case
"7,237",case
"7,240",case
"7,244",case
"7,245",case
"7,249",case
"7,264",case
"8,249",case
"8,250",case
"8,252",case
"8,253",case
"9,246",case
"9,250",case
"9,251",case
"-1,227",negative_control
"-1,228",negative_control
"-1,229",negative_control
"-1,230",negative_control
"-1,231",negative_control
"-1,232",negative_control
"-1,233",negative_control
"-1,234",negative_control
"-1,235",negative_control
"-1,236",negative_control
"-1,237",negative_control
"-1,238",negative_control
"-1,239",negative_control
"-1,240",negative_control
"-1,241",negative_control
"-1,242",negative_control
"-1,243",negative_control
"-1,244",negative_control
"-1,245",negative_control
"-1,246",negative_control
"-1,247",negative_control
"-1,248",negative_control
"-1,249",negative_control
"-1,250",negative_control
"-1,251",negative_control
"-1,252",negative_control
"-1,253",negative_control
"-1,254",negative_control
"-1,255",negative_control
"-1,256",negative_control
"-1,257",negative_control
"-1,258",negative_control
"-1,259",negative_control
"-1,260",negative_control
"-1,261",negative_control
"-1,262",negative_control
"-1,263",negative_control
"-1,264",negative_control
"-1,265",negative_control
"-1,266",negative_control
"-1,267",negative_control
"-1,268",negative_control
"-1,269",negative_control
"-1,270",negative_control
"-1,271",negative_control
"-1,272",negative_control
"-1,273",negative_control
"-1,274",negative_control
"-1,275",negative_control
"-1,276",negative_control
"-1,277",negative_control
"-1,278",negative_control
"-1,279",negative_control
"-1,280",negative_control
"-1,281",negative_control
"-1,282",negative_control
"-1,283",negative_control
"-1,284",negative_control
"-1,285",negative_control
"-1,286",negative_control
"-1,287",negative_control
"-2,227",negative_control
"-2,228",negative_control
"-2,229",negative_control
"-2,230",negative_control
"-2,231",negative_control
"-2,232",negative_control
"-2,233",negative_control
"-2,234",negative_control
"-2,235",negative_control
"-2,236",negative_control
"-2,237",negative_control
"-2,238",negative_control
"-2,239",negative_control
"-2,240",negative_control
"-2,241",negative_control
"-2,242",negative_control
"-2,243",negative_control
"-2,244",negative_control
"-2,245",negative_control
"-2,246",negative_control
"-2,247",negative_control
"-2,248",negative_control
"-2,249",negative_control
"-2,250",negative_control
"-2,251",negative_control
"-2,252",negative_control
"-2,253",negative_control
"-2,254",negative_control
"-2,256",negative_control
"-2,257",negative_control
"-2,258",negative_control
"-2,259",negative_control
"-2,260",negative_control
"-2,262",negative_control
"-2,263",negative_control
"-2,264",negative_control
"-2,265",negative_control
"-2,266",negative_control
"-2,267",negative_control
"-2,268",negative_control
"-2,269",negative_control
"-2,270",negative_control
"-2,271",negative_control
"-2,272",negative_control
"-2,273",negative_control
"-2,274",negative_control
"-2,275",negative_control
"-2,276",negative_control
"-2,277",negative_control
"-2,278",negative_control
"-2,279",negative_control
"-2,280",negative_control
"-2,281",negative_control
"-2,282",negative_control
"-2,283",negative_control
"-2,284",negative_control
"-2,286",negative_control
"-2,287",negative_control
"-3,227",negative_control
"-3,228",negative_control
"-3,229",negative_control
"-3,230",negative_control
"-3,231",negative_control
"-3,232",negative_control
"-3,233",negative_control
"-3,234",negative_control
"-3,235",negative_control
"-3,236",negative_control
"-3,237",negative_control
"-3,238",negative_control
"-3,239",negative_control
"-3,240",negative_control
"-3,241",negative_control
"-3,242",negative_control
"-3,244",negative_control
"-3,245",negative_control
"-3,246",negative_control
"-3,247",negative_control
"-3,248",negative_control
"-3,249",negative_control
"-3,250",negative_control
"-3,251",negative_control
"-3,252",negative_control
"-3,253",negative_control
"-3,254",negative_control
"-3,255",negative_control
"-3,256",negative_control
"-3,257",negative_control
"-3,258",negative_control
"-3,259",negative_control
"-3,260",negative_control
"-3,261",negative_control
"-3,262",negative_control
"-3,263",negative_control
"-3,264",negative_control
"-3,265",negative_control
"-3,266",negative_control
"-3,267",negative_control
"-3,268",negative_control
"-3,269",negative_control
"-3,270",negative_control
"-3,271",negative_control
"-3,272",negative_control
"-3,273",negative_control
"-3,274",negative_control
"-3,275",negative_control
"-3,276",negative_control
"-3,277",negative_control
"-3,278",negative_control
"-3,279",negative_control
"-3,280",negative_control
"-3,281",negative_control
"-3,282",negative_control
"-3,284",negative_control
"-3,285",negative_control
"-4,227",negative_control
"-4,228",negative_control
"-4,229",negative_control
"-4,230",negative_control
"-4,231",negative_control
"-4,232",negative_control
"-4,233",negative_control
"-4,234",negative_control
"-4,235",negative_control
"-4,236",negative_control
"-4,237",negative_control
"-4,238",negative_control
"-4,239",negative_control
"-4,240",negative_control
"-4,241",negative_control
"-4,242",negative_control
"-4,243",negative_control
"-4,244",negative_control
"-4,245",negative_control
"-4,246",negative_control
"-4,247",negative_control
"-4,248",negative_control
"-4,249",negative_control
"-4,251",negative_control
"-4,252",negative_control
"-4,253",negative_control
"-4,254",negative_control
"-4,255",negative_control
"-4,256",negative_control
"-4,257",negative_control
"-4,258",negative_control
"-4,259",negative_control
"-4,260",negative_control
"-4,261",negative_control
"-4,262",negative_control
"-4,263",negative_control
"-4,265",negative_control
"-4,266",negative_control
"-4,267",negative_control
"-4,268",negative_control
"-4,269",negative_control
"-4,270",negative_control
"-4,271",negative_control
"-4,272",negative_control
"-4,274",negative_control
"-4,275",negative_control
"-4,276",negative_control
"-4,277",negative_control
"-4,278",negative_control
"-4,279",negative_control
"-4,280",negative_control
"-4,281",negative_control
"-4,282",negative_control
"-4,283",negative_control
"-4,284",negative_control
"-4,285",negative_control
"-4,287",negative_control
"-4,288",negative_control
"-5,248",negative_control
"-5,249",negative_control
"-5,250",negative_control
"-5,251",negative_control
"-5,252",negative_control
"-5,253",negative_control
"-5,254",negative_control
"-5,255",negative_control
"-5,258",negative_control
"-5,259",negative_control
"-5,261",negative_control
"-5,262",negative_control
"-5,263",negative_control
"-5,264",negative_control
"-5,265",negative_control
"-5,267",negative_control
"-5,270",negative_control
"-5,274",negative_control
"-5,275",negative_control
"-5,277",negative_control
"-5,279",negative_control
"-5,280",negative_control
"-5,282",negative_control
"-5,283",negative_control
"-5,284",negative_control
"-5,285",negative_control
"-5,286",negative_control
"-6,249",negative_control
"-6,250",negative_control
"-6,251",negative_control
"-6,252",negative_control
"-6,261",negative_control
"-6,262",negative_control
"-6,263",negative_control
"-6,265",negative_control
"-6,266",negative_control
"-6,267",negative_control
"-6,275",negative_control
"-6,278",negative_control
"-6,279",negative_control
"-6,280",negative_control
"-6,282",negative_control
"-6,283",negative_control
"-6,284",negative_control
"-6,286",negative_control
"-6,287",negative_control
"-7,251",negative_control
"-7,266",negative_control
"-7,269",negative_control
"-7,270",negative_control
"-7,273",negative_control
"-7,275",negative_control
"-7,276",negative_control
"-7,278",negative_control
"-7,279",negative_control
"-7,282",negative_control
"-7,285",negative_control
"-7,286",negative_control
"-7,287",negative_control
"-7,288",negative_control
"-8,275",negative_control
"-8,276",negative_control
"-8,279",negative_control
"-8,285",negative_control
"0,227",negative_control
"0,228",negative_control
"0,229",negative_control
"0,230",negative_control
"0,231",negative_control
"0,232",negative_control
"0,233",negative_control
"0,234",negative_control
"0,235",negative_control
"0,236",negative_control
"0,237",negative_control
"0,238",negative_control
"0,240",negative_control
"0,241",negative_control
"0,242",negative_control
"0,243",negative_control
"0,244",negative_control
"0,245",negative_control
"0,247",negative_control
"0,248",negative_control
"0,249",negative_control
"0,250",negative_control
"0,251",negative_control
"0,252",negative_control
"0,253",negative_control
"0,255",negative_control
"0,256",negative_control
"0,257",negative_control
"0,259",negative_control
"0,260",negative_control
"0,261",negative_control
"0,262",negative_control
"0,263",negative_control
"0,265",negative_control
"0,266",negative_control
"0,267",negative_control
"0,268",negative_control
"0,269",negative_control
"0,270",negative_control
"0,271",negative_control
"0,272",negative_control
"0,273",negative_control
"0,274",negative_control
"0,275",negative_control
"0,276",negative_control
"0,277",negative_control
"0,278",negative_control
"0,279",negative_control
"0,280",negative_control
"0,282",negative_control
"0,283",negative_control
"0,284",negative_control
"0,285",negative_control
"0,286",negative_control
"0,287",negative_control
"1,227",negative_control
"1,228",negative_control
"1,229",negative_control
"1,230",negative_control
"1,231",negative_control
"1,232",negative_control
"1,233",negative_control
"1,234",negative_control
"1,235",negative_control
"1,236",negative_control
"1,237",negative_control
"1,238",negative_control
"1,239",negative_control
"1,240",negative_control
"1,242",negative_control
"1,243",negative_control
"1,244",negative_control
"1,245",negative_control
"1,246",negative_control
"1,247",negative_control
"1,249",negative_control
"1,250",negative_control
"1,251",negative_control
"1,252",negative_control
"1,253",negative_control
"1,254",negative_control
"1,255",negative_control
"1,256",negative_control
"1,257",negative_control
"1,258",negative_control
"1,259",negative_control
"1,260",negative_control
"1,261",negative_control
"1,265",negative_control
"1,266",negative_control
"1,267",negative_control
"1,268",negative_control
"1,269",negative_control
"1,270",negative_control
"1,271",negative_control
"1,272",negative_control
"1,273",negative_control
"1,275",negative_control
"1,276",negative_control
"1,277",negative_control
"1,278",negative_control
"1,279",negative_control
"1,280",negative_control
"1,281",negative_control
"1,282",negative_control
"1,284",negative_control
"1,285",negative_control
"1,286",negative_control
"1,287",negative_control
"10,227",negative_control
"10,228",negative_control
"10,229",negative_control
"10,230",negative_control
"10,231",negative_control
"10,232",negative_control
"10,233",negative_control
"10,234",negative_control
"10,235",negative_control
"10,236",negative_control
"10,237",negative_control
"10,238",negative_control
"10,239",negative_control
"10,240",negative_control
"10,241",negative_control
"10,242",negative_control
"10,243",negative_control
"10,244",negative_control
"10,245",negative_control
"10,246",negative_control
"10,248",negative_control
"10,249",negative_control
"10,250",negative_control
"10,251",negative_control
"10,252",negative_control
"10,253",negative_control
"10,256",negative_control
"10,257",negative_control
"10,259",negative_control
"10,260",negative_control
"10,261",negative_control
"10,262",negative_control
"10,264",negative_control
"10,265",negative_control
"10,266",negative_control
"10,269",negative_control
"10,270",negative_control
"10,274",negative_control
"10,275",negative_control
"10,276",negative_control
"10,277",negative_control
"10,283",negative_control
"10,284",negative_control
"10,285",negative_control
"11,227",negative_control
"11,228",negative_control
"11,229",negative_control
"11,230",negative_control
"11,231",negative_control
"11,232",negative_control
"11,233",negative_control
"11,234",negative_control
"11,236",negative_control
"11,237",negative_control
"11,238",negative_control
"11,239",negative_control
"11,240",negative_control
"11,241",negative_control
"11,242",negative_control
"11,243",negative_control
"11,244",negative_control
"11,245",negative_control
"11,246",negative_control
"11,248",negative_control
"11,249",negative_control
"11,250",negative_control
"11,251",negative_control
"11,252",negative_control
"11,253",negative_control
"11,254",negative_control
"11,256",negative_control
"11,257",negative_control
"11,258",negative_control
"11,259",negative_control
"11,260",negative_control
"11,261",negative_control
"11,262",negative_control
"11,263",negative_control
"11,264",negative_control
"11,274",negative_control
"11,275",negative_control
"11,276",negative_control
"11,277",negative_control
"11,280",negative_control
"11,283",negative_control
"11,284",negative_control
"11,285",negative_control
"12,227",negative_control
"12,228",negative_control
"12,229",negative_control
"12,230",negative_control
"12,231",negative_control
"12,232",negative_control
"12,233",negative_control
"12,234",negative_control
"12,236",negative_control
"12,237",negative_control
"12,238",negative_control
"12,239",negative_control
"12,240",negative_control
"12,241",negative_control
"12,242",negative_control
"12,243",negative_control
"12,244",negative_control
"12,245",negative_control
"12,247",negative_control
"12,248",negative_control
"12,251",negative_control
"12,252",negative_control
"12,253",negative_control
"12,255",negative_control
"12,256",negative_control
"12,258",negative_control
"12,259",negative_control
"12,261",negative_control
"12,262",negative_control
"12,263",negative_control
"12,276",negative_control
"12,285",negative_control
"13,227",negative_control
"13,228",negative_control
"13,229",negative_control
"13,230",negative_control
"13,231",negative_control
"13,232",negative_control
"13,233",negative_control
"13,234",negative_control
"13,235",negative_control
"13,236",negative_control
"13,237",negative_control
"13,238",negative_control
"13,239",negative_control
"13,240",negative_control
"13,241",negative_control
"13,242",negative_control
"13,243",negative_control
"13,244",negative_control
"13,245",negative_control
"13,246",negative_control
"13,247",negative_control
"13,248",negative_control
"13,249",negative_control
"13,250",negative_control
"13,251",negative_control
"13,252",negative_control
"13,253",negative_control
"13,254",negative_control
"13,255",negative_control
"13,256",negative_control
"13,257",negative_control
"13,259",negative_control
"13,261",negative_control
"13,262",negative_control
"13,263",negative_control
"13,264",negative_control
"13,276",negative_control
"13,277",negative_control
"14,228",negative_control
"14,229",negative_control
"14,230",negative_control
"14,231",negative_control
"14,232",negative_control
"14,233",negative_control
"14,234",negative_control
"14,235",negative_control
"14,236",negative_control
"14,237",negative_control
"14,238",negative_control
"14,239",negative_control
"14,240",negative_control
"14,241",negative_control
"14,242",negative_control
"14,243",negative_control
"14,244",negative_control
"14,245",negative_control
"14,246",negative_control
"14,247",negative_control
"14,248",negative_control
"14,249",negative_control
"14,250",negative_control
"14,252",negative_control
"14,253",negative_control
"14,256",negative_control
"14,257",negative_control
"14,258",negative_control
"14,259",negative_control
"14,261",negative_control
"14,262",negative_control
"14,263",negative_control
"14,275",negative_control
"14,276",negative_control
"15,228",negative_control
"15,229",negative_control
"15,230",negative_control
"15,231",negative_control
"15,232",negative_control
"15,233",negative_control
"15,234",negative_control
"15,235",negative_control
"15,236",negative_control
"15,237",negative_control
"15,238",negative_control
"15,239",negative_control
"15,240",negative_control
"15,241",negative_control
"15,242",negative_control
"15,243",negative_control
"15,244",negative_control
"15,245",negative_control
"15,246",negative_control
"15,247",negative_control
"15,248",negative_control
"15,249",negative_control
"15,250",negative_control
"15,251",negative_control
"15,252",negative_control
"15,253",negative_control
"15,254",negative_control
"15,256",negative_control
"15,257",negative_control
"15,258",negative_control
"15,259",negative_control
"15,260",negative_control
"15,262",negative_control
"15,276",negative_control
"16,228",negative_control
"16,229",negative_control
"16,230",negative_control
"16,231",negative_control
"16,232",negative_control
"16,233",negative_control
"16,234",negative_control
"16,235",negative_control
"16,236",negative_control
"16,237",negative_control
"16,238",negative_control
"16,239",negative_control
"16,240",negative_control
"16,241",negative_control
"16,244",negative_control
"16,245",negative_control
"16,246",negative_control
"16,247",negative_control
"16,248",negative_control
"16,249",negative_control
"16,250",negative_control
"16,251",negative_control
"16,252",negative_control
"16,253",negative_control
"16,254",negative_control
"16,255",negative_control
"16,256",negative_control
"16,257",negative_control
"16,258",negative_control
"16,259",negative_control
"16,260",negative_control
"16,261",negative_control
"16,262",negative_control
"16,271",negative_control
"17,228",negative_control
"17,229",negative_control
"17,230",negative_control
"17,231",negative_control
"17,232",negative_control
"17,234",negative_control
"17,235",negative_control
"17,236",negative_control
"17,238",negative_control
"17,239",negative_control
"17,240",negative_control
"17,241",negative_control
"17,242",negative_control
"17,243",negative_control
"17,244",negative_control
"17,246",negative_control
"17,247",negative_control
"17,248",negative_control
"17,249",negative_control
"17,250",negative_control
"17,251",negative_control
"17,252",negative_control
"17,253",negative_control
"17,254",negative_control
"17,255",negative_control
"17,256",negative_control
"17,261",negative_control
"17,262",negative_control
"17,263",negative_control
"17,268",negative_control
"17,269",negative_control
"17,270",negative_control
"17,271",negative_control
"17,272",negative_control
"17,273",negative_control
"18,228",negative_control
"18,229",negative_control
"18,230",negative_control
"18,231",negative_control
"18,232",negative_control
"18,233",negative_control
"18,234",negative_control
"18,235",negative_control
"18,236",negative_control
"18,237",negative_control
"18,238",negative_control
"18,239",negative_control
"18,240",negative_control
"18,241",negative_control
"18,242",negative_control
"18,243",negative_control
"18,244",negative_control
"18,245",negative_control
"18,246",negative_control
"18,247",negative_control
"18,248",negative_control
"18,250",negative_control
"18,251",negative_control
"18,252",negative_control
"18,253",negative_control
"18,254",negative_control
"18,255",negative_control
"18,256",negative_control
"18,260",negative_control
"18,261",negative_control
"18,262",negative_control
"18,263",negative_control
"18,264",negative_control
"18,268",negative_control
"18,270",negative_control
"18,281",negative_control
"18,282",negative_control
"19,228",negative_control
"19,229",negative_control
"19,230",negative_control
"19,231",negative_control
"19,232",negative_control
"19,234",negative_control
"19,235",negative_control
"19,236",negative_control
"19,237",negative_control
"19,238",negative_control
"19,239",negative_control
"19,240",negative_control
"19,241",negative_control
"19,242",negative_control
"19,243",negative_control
"19,244",negative_control
"19,245",negative_control
"19,246",negative_control
"19,247",negative_control
"19,248",negative_control
"19,249",negative_control
"19,250",negative_control
"19,251",negative_control
"19,252",negative_control
"19,253",negative_control
"19,254",negative_control
"19,255",negative_control
"19,256",negative_control
"19,257",negative_control
"19,258",negative_control
