parameterisation,panel,exposure,window,spring,outside,ratio,p_interaction
Absolute conditions,Minnesota,Temperature,0-7 days,"1.23 (0.79, 1.90)","1.06 (0.67, 1.67)","1.16 (0.62, 2.17)",0.651
Absolute conditions,Minnesota,Temperature,8-14 days,"1.11 (0.87, 1.41)","0.94 (0.74, 1.21)","1.17 (0.83, 1.66)",0.368
Absolute conditions,Minnesota,Temperature,15-21 days,"1.03 (0.77, 1.39)","0.85 (0.63, 1.15)","1.21 (0.79, 1.85)",0.38
Absolute conditions,Minnesota,Temperature,22-28 days,"0.96 (0.60, 1.53)","0.77 (0.47, 1.25)","1.25 (0.63, 2.45)",0.525
Absolute conditions,Minnesota,Precipitation,0-7 days,"0.85 (0.55, 1.32)","0.79 (0.47, 1.32)","1.08 (0.55, 2.12)",0.832
Absolute conditions,Minnesota,Precipitation,8-14 days,"0.85 (0.64, 1.14)","0.91 (0.63, 1.30)","0.94 (0.60, 1.49)",0.802
Absolute conditions,Minnesota,Precipitation,15-21 days,"0.84 (0.64, 1.11)","1.00 (0.69, 1.45)","0.84 (0.53, 1.33)",0.461
Absolute conditions,Minnesota,Precipitation,22-28 days,"0.83 (0.58, 1.18)","1.11 (0.69, 1.78)","0.75 (0.42, 1.35)",0.338
Absolute conditions,Minnesota,Soil moisture,0-7 days,"0.92 (0.53, 1.61)","1.00 (0.53, 1.85)","0.92 (0.40, 2.13)",0.853
Absolute conditions,Minnesota,Soil moisture,8-14 days,"0.84 (0.60, 1.20)","0.99 (0.65, 1.51)","0.85 (0.49, 1.47)",0.569
Absolute conditions,Minnesota,Soil moisture,15-21 days,"0.77 (0.56, 1.07)","0.98 (0.63, 1.54)","0.79 (0.45, 1.37)",0.395
Absolute conditions,Minnesota,Soil moisture,22-28 days,"0.71 (0.46, 1.09)","0.98 (0.54, 1.78)","0.72 (0.34, 1.51)",0.389
Absolute conditions,Minnesota,Wind speed,0-7 days,"1.05 (0.79, 1.41)","0.83 (0.60, 1.15)","1.26 (0.82, 1.96)",0.291
Absolute conditions,Minnesota,Wind speed,8-14 days,"1.07 (0.88, 1.30)","0.90 (0.73, 1.10)","1.19 (0.90, 1.58)",0.22
Absolute conditions,Minnesota,Wind speed,15-21 days,"1.10 (0.90, 1.34)","0.95 (0.77, 1.16)","1.16 (0.87, 1.55)",0.307
Absolute conditions,Minnesota,Wind speed,22-28 days,"1.13 (0.87, 1.46)","1.00 (0.75, 1.32)","1.13 (0.77, 1.66)",0.53
Absolute conditions,Minnesota,Runoff,0-7 days,"0.97 (0.67, 1.41)","1.02 (0.67, 1.54)","0.95 (0.54, 1.67)",0.862
Absolute conditions,Minnesota,Runoff,8-14 days,"0.99 (0.79, 1.26)","1.01 (0.77, 1.32)","0.98 (0.69, 1.40)",0.926
Absolute conditions,Minnesota,Runoff,15-21 days,"1.02 (0.81, 1.27)","1.01 (0.77, 1.33)","1.01 (0.71, 1.44)",0.966
Absolute conditions,Minnesota,Runoff,22-28 days,"1.04 (0.77, 1.40)","1.00 (0.69, 1.46)","1.03 (0.64, 1.66)",0.894
Absolute conditions,Minnesota,Anseriformes,0-7 days,"0.87 (0.56, 1.38)","1.05 (0.50, 2.19)","0.84 (0.35, 1.99)",0.684
Absolute conditions,Minnesota,Anseriformes,8-14 days,"1.26 (1.04, 1.53)","1.20 (0.83, 1.74)","1.05 (0.69, 1.59)",0.827
Absolute conditions,Minnesota,Anseriformes,15-21 days,"1.75 (1.31, 2.34)","1.38 (0.91, 2.10)","1.27 (0.76, 2.11)",0.364
Absolute conditions,Minnesota,Anseriformes,22-28 days,"2.42 (1.42, 4.14)","1.58 (0.78, 3.22)","1.53 (0.63, 3.74)",0.347
Absolute conditions,Pooled,Temperature,0-7 days,"0.95 (0.70, 1.28)","0.97 (0.70, 1.33)","0.98 (0.63, 1.51)",0.927
Absolute conditions,Pooled,Temperature,8-14 days,"0.94 (0.79, 1.12)","0.94 (0.79, 1.12)","1.00 (0.78, 1.28)",0.993
Absolute conditions,Pooled,Temperature,15-21 days,"0.93 (0.74, 1.17)","0.92 (0.74, 1.14)","1.01 (0.74, 1.39)",0.928
Absolute conditions,Pooled,Temperature,22-28 days,"0.92 (0.64, 1.33)","0.89 (0.63, 1.26)","1.03 (0.62, 1.70)",0.907
Absolute conditions,Pooled,Precipitation,0-7 days,"0.92 (0.66, 1.30)","0.74 (0.48, 1.14)","1.25 (0.72, 2.17)",0.424
Absolute conditions,Pooled,Precipitation,8-14 days,"0.91 (0.73, 1.14)","0.94 (0.69, 1.28)","0.97 (0.67, 1.42)",0.89
Absolute conditions,Pooled,Precipitation,15-21 days,"0.90 (0.72, 1.11)","1.13 (0.82, 1.56)","0.79 (0.54, 1.16)",0.233
Absolute conditions,Pooled,Precipitation,22-28 days,"0.88 (0.66, 1.17)","1.37 (0.91, 2.05)","0.64 (0.39, 1.05)",0.079
Absolute conditions,Pooled,Soil moisture,0-7 days,"0.95 (0.62, 1.46)","1.23 (0.78, 1.96)","0.77 (0.41, 1.45)",0.418
Absolute conditions,Pooled,Soil moisture,8-14 days,"0.91 (0.69, 1.19)","1.08 (0.81, 1.46)","0.84 (0.56, 1.25)",0.381
Absolute conditions,Pooled,Soil moisture,15-21 days,"0.86 (0.66, 1.13)","0.99 (0.72, 1.35)","0.88 (0.58, 1.32)",0.528
Absolute conditions,Pooled,Soil moisture,22-28 days,"0.82 (0.57, 1.19)","0.90 (0.58, 1.38)","0.92 (0.52, 1.62)",0.763
Absolute conditions,Pooled,Wind speed,0-7 days,"1.22 (0.95, 1.56)","0.83 (0.63, 1.11)","1.46 (1.00, 2.12)",0.051
Absolute conditions,Pooled,Wind speed,8-14 days,"1.16 (0.98, 1.38)","0.90 (0.75, 1.08)","1.29 (1.00, 1.66)",0.047
Absolute conditions,Pooled,Wind speed,15-21 days,"1.14 (0.95, 1.36)","0.95 (0.79, 1.14)","1.20 (0.93, 1.55)",0.164
Absolute conditions,Pooled,Wind speed,22-28 days,"1.11 (0.89, 1.40)","1.00 (0.77, 1.28)","1.12 (0.80, 1.57)",0.516
Absolute conditions,Pooled,Runoff,0-7 days,"0.94 (0.66, 1.34)","1.09 (0.73, 1.63)","0.86 (0.51, 1.46)",0.582
Absolute conditions,Pooled,Runoff,8-14 days,"1.01 (0.81, 1.25)","1.04 (0.80, 1.34)","0.97 (0.69, 1.36)",0.852
Absolute conditions,Pooled,Runoff,15-21 days,"1.06 (0.87, 1.30)","1.00 (0.77, 1.31)","1.06 (0.76, 1.48)",0.727
Absolute conditions,Pooled,Runoff,22-28 days,"1.12 (0.86, 1.46)","0.96 (0.67, 1.38)","1.16 (0.74, 1.82)",0.509
Absolute conditions,Pooled,Anseriformes,0-7 days,"1.02 (0.79, 1.30)","1.09 (0.76, 1.57)","0.93 (0.60, 1.44)",0.748
Absolute conditions,Pooled,Anseriformes,8-14 days,"1.16 (1.02, 1.32)","1.03 (0.85, 1.26)","1.12 (0.89, 1.42)",0.332
Absolute conditions,Pooled,Anseriformes,15-21 days,"1.32 (1.14, 1.51)","0.99 (0.77, 1.27)","1.33 (1.00, 1.77)",0.051
Absolute conditions,Pooled,Anseriformes,22-28 days,"1.49 (1.19, 1.87)","0.95 (0.63, 1.42)","1.57 (0.99, 2.49)",0.056
