Parameterisation,panel,n,WAIC,Predictor,Lag 0-7 days,Lag 8-14 days,Lag 15-21 days,Lag 22-28 days
Absolute conditions,Minnesota,85,920.6,Temperature,"1.33 (0.86, 2.06)","1.05 (0.83, 1.32)","0.86 (0.64, 1.17)","0.71 (0.43, 1.18)"
Absolute conditions,Minnesota,85,920.6,Soil moisture,"0.90 (0.55, 1.45)","0.82 (0.61, 1.11)","0.75 (0.56, 1.00)","0.68 (0.46, 1.01)"
Absolute conditions,Minnesota,85,920.6,Runoff,"0.98 (0.68, 1.42)","1.02 (0.81, 1.28)","1.06 (0.85, 1.31)","1.09 (0.82, 1.46)"
Absolute conditions,Minnesota,85,920.6,Wind speed,"0.87 (0.67, 1.13)","0.95 (0.79, 1.13)","1.01 (0.84, 1.22)","1.08 (0.85, 1.37)"
Absolute conditions,Minnesota,85,920.6,Anseriformes,"0.93 (0.63, 1.35)","1.25 (1.05, 1.49)","1.65 (1.30, 2.09)","2.17 (1.42, 3.31)"
90-day rolling anomaly,Minnesota,85,930,Temperature,"1.34 (0.90, 1.99)","1.15 (0.90, 1.47)","1.03 (0.83, 1.29)","0.93 (0.69, 1.24)"
90-day rolling anomaly,Minnesota,85,930,Soil moisture,"0.83 (0.68, 1.01)","0.86 (0.76, 0.98)","0.87 (0.77, 0.99)","0.89 (0.74, 1.05)"
90-day rolling anomaly,Minnesota,85,930,Runoff,"1.02 (0.80, 1.31)","1.01 (0.85, 1.18)","0.99 (0.84, 1.18)","0.98 (0.78, 1.23)"
90-day rolling anomaly,Minnesota,85,930,Wind speed,"1.04 (0.87, 1.24)","1.02 (0.91, 1.15)","1.01 (0.90, 1.14)","1.00 (0.85, 1.18)"
90-day rolling anomaly,Minnesota,85,930,Anseriformes,"0.91 (0.60, 1.39)","1.28 (1.07, 1.53)","1.74 (1.37, 2.19)","2.35 (1.52, 3.65)"
25-year climatological anomaly,Minnesota,85,922.8,Temperature,"1.21 (0.94, 1.55)","1.09 (0.93, 1.28)","1.01 (0.86, 1.19)","0.94 (0.76, 1.17)"
25-year climatological anomaly,Minnesota,85,922.8,Soil moisture,"0.92 (0.69, 1.22)","0.92 (0.77, 1.10)","0.91 (0.76, 1.09)","0.90 (0.71, 1.15)"
25-year climatological anomaly,Minnesota,85,922.8,Runoff,"0.96 (0.78, 1.19)","0.99 (0.86, 1.13)","1.00 (0.87, 1.16)","1.02 (0.84, 1.24)"
25-year climatological anomaly,Minnesota,85,922.8,Wind speed,"0.90 (0.67, 1.20)","0.97 (0.81, 1.16)","1.04 (0.86, 1.24)","1.10 (0.85, 1.43)"
25-year climatological anomaly,Minnesota,85,922.8,Anseriformes,"0.90 (0.62, 1.30)","1.23 (1.05, 1.43)","1.63 (1.31, 2.01)","2.15 (1.43, 3.24)"
Absolute conditions,Other flyway states,82,878.3,Temperature,"0.98 (0.69, 1.40)","1.01 (0.82, 1.25)","1.04 (0.80, 1.35)","1.06 (0.71, 1.59)"
Absolute conditions,Other flyway states,82,878.3,Soil moisture,"1.10 (0.70, 1.74)","1.06 (0.80, 1.41)","1.04 (0.77, 1.40)","1.01 (0.66, 1.54)"
Absolute conditions,Other flyway states,82,878.3,Runoff,"0.90 (0.55, 1.47)","0.95 (0.69, 1.30)","0.99 (0.73, 1.34)","1.03 (0.69, 1.53)"
Absolute conditions,Other flyway states,82,878.3,Wind speed,"1.13 (0.85, 1.49)","1.10 (0.91, 1.32)","1.09 (0.90, 1.32)","1.08 (0.84, 1.40)"
Absolute conditions,Other flyway states,82,878.3,Anseriformes,"0.72 (0.51, 1.02)","1.01 (0.85, 1.20)","1.32 (1.07, 1.63)","1.73 (1.22, 2.46)"
90-day rolling anomaly,Other flyway states,82,873.8,Temperature,"0.96 (0.60, 1.52)","1.06 (0.80, 1.40)","1.16 (0.87, 1.53)","1.27 (0.86, 1.87)"
90-day rolling anomaly,Other flyway states,82,873.8,Soil moisture,"0.77 (0.63, 0.94)","0.85 (0.75, 0.96)","0.91 (0.81, 1.03)","0.98 (0.82, 1.16)"
90-day rolling anomaly,Other flyway states,82,873.8,Runoff,"0.88 (0.71, 1.08)","0.93 (0.81, 1.06)","0.97 (0.85, 1.10)","1.00 (0.84, 1.20)"
90-day rolling anomaly,Other flyway states,82,873.8,Wind speed,"1.25 (1.02, 1.52)","1.10 (0.97, 1.26)","1.01 (0.88, 1.16)","0.93 (0.77, 1.11)"
90-day rolling anomaly,Other flyway states,82,873.8,Anseriformes,"0.80 (0.56, 1.13)","1.06 (0.89, 1.26)","1.34 (1.09, 1.65)","1.70 (1.20, 2.42)"
25-year climatological anomaly,Other flyway states,82,877.4,Temperature,"0.93 (0.77, 1.13)","0.94 (0.83, 1.07)","0.94 (0.83, 1.07)","0.94 (0.80, 1.10)"
25-year climatological anomaly,Other flyway states,82,877.4,Soil moisture,"1.07 (0.86, 1.34)","1.03 (0.89, 1.20)","1.00 (0.85, 1.17)","0.97 (0.79, 1.19)"
25-year climatological anomaly,Other flyway states,82,877.4,Runoff,"0.95 (0.77, 1.17)","0.97 (0.85, 1.11)","0.99 (0.86, 1.13)","1.00 (0.83, 1.20)"
25-year climatological anomaly,Other flyway states,82,877.4,Wind speed,"1.17 (0.86, 1.60)","1.12 (0.91, 1.37)","1.09 (0.89, 1.34)","1.07 (0.81, 1.41)"
25-year climatological anomaly,Other flyway states,82,877.4,Anseriformes,"0.77 (0.55, 1.07)","1.04 (0.89, 1.22)","1.35 (1.12, 1.62)","1.74 (1.25, 2.41)"
Absolute conditions,Pooled,167,1785.4,Temperature,"1.13 (0.85, 1.51)","1.02 (0.87, 1.20)","0.94 (0.76, 1.16)","0.87 (0.62, 1.22)"
Absolute conditions,Pooled,167,1785.4,Soil moisture,"1.05 (0.73, 1.52)","0.93 (0.74, 1.17)","0.84 (0.67, 1.05)","0.75 (0.55, 1.03)"
Absolute conditions,Pooled,167,1785.4,Runoff,"0.92 (0.66, 1.29)","1.00 (0.81, 1.23)","1.06 (0.87, 1.29)","1.12 (0.87, 1.45)"
Absolute conditions,Pooled,167,1785.4,Wind speed,"1.01 (0.81, 1.26)","1.04 (0.89, 1.20)","1.06 (0.91, 1.24)","1.09 (0.90, 1.34)"
Absolute conditions,Pooled,167,1785.4,Anseriformes,"0.84 (0.65, 1.08)","1.14 (1.01, 1.28)","1.48 (1.26, 1.73)","1.92 (1.46, 2.52)"
90-day rolling anomaly,Pooled,167,1784.6,Temperature,"1.31 (0.96, 1.79)","1.16 (0.96, 1.41)","1.07 (0.90, 1.28)","0.99 (0.79, 1.25)"
90-day rolling anomaly,Pooled,167,1784.6,Soil moisture,"0.79 (0.69, 0.92)","0.84 (0.77, 0.93)","0.87 (0.79, 0.96)","0.90 (0.79, 1.02)"
90-day rolling anomaly,Pooled,167,1784.6,Runoff,"0.97 (0.81, 1.15)","0.99 (0.88, 1.11)","1.00 (0.89, 1.13)","1.02 (0.88, 1.19)"
90-day rolling anomaly,Pooled,167,1784.6,Wind speed,"1.16 (1.01, 1.33)","1.06 (0.97, 1.16)","1.00 (0.91, 1.10)","0.94 (0.83, 1.07)"
90-day rolling anomaly,Pooled,167,1784.6,Anseriformes,"0.90 (0.70, 1.16)","1.20 (1.07, 1.35)","1.55 (1.33, 1.81)","2.01 (1.54, 2.63)"
25-year climatological anomaly,Pooled,167,1793.8,Temperature,"1.02 (0.86, 1.20)","0.99 (0.89, 1.11)","0.97 (0.87, 1.08)","0.95 (0.82, 1.09)"
25-year climatological anomaly,Pooled,167,1793.8,Soil moisture,"1.00 (0.82, 1.20)","0.97 (0.86, 1.10)","0.96 (0.84, 1.08)","0.94 (0.79, 1.10)"
25-year climatological anomaly,Pooled,167,1793.8,Runoff,"0.92 (0.76, 1.12)","0.96 (0.85, 1.10)","1.00 (0.87, 1.14)","1.03 (0.86, 1.23)"
25-year climatological anomaly,Pooled,167,1793.8,Wind speed,"1.03 (0.81, 1.30)","1.03 (0.89, 1.20)","1.04 (0.90, 1.21)","1.05 (0.86, 1.30)"
25-year climatological anomaly,Pooled,167,1793.8,Anseriformes,"0.84 (0.66, 1.07)","1.14 (1.03, 1.27)","1.49 (1.30, 1.72)","1.95 (1.51, 2.51)"
25-year climatological anomaly (full panel),Minnesota,85,923.7,Temperature,"1.22 (0.95, 1.57)","1.10 (0.93, 1.29)","1.02 (0.86, 1.20)","0.94 (0.75, 1.17)"
25-year climatological anomaly (full panel),Minnesota,85,923.7,Soil moisture,"0.93 (0.70, 1.22)","0.92 (0.77, 1.10)","0.91 (0.76, 1.09)","0.90 (0.71, 1.14)"
25-year climatological anomaly (full panel),Minnesota,85,923.7,Runoff,"0.96 (0.78, 1.19)","0.99 (0.86, 1.13)","1.01 (0.87, 1.16)","1.02 (0.84, 1.24)"
25-year climatological anomaly (full panel),Minnesota,85,923.7,Wind speed,"0.91 (0.68, 1.21)","0.98 (0.82, 1.17)","1.05 (0.87, 1.25)","1.11 (0.86, 1.44)"
25-year climatological anomaly (full panel),Minnesota,85,923.7,Anseriformes,"0.94 (0.67, 1.32)","1.26 (1.10, 1.44)","1.64 (1.32, 2.03)","2.13 (1.43, 3.19)"
25-year climatological anomaly (full panel),Other flyway states,90,980.7,Temperature,"0.96 (0.80, 1.16)","0.96 (0.85, 1.09)","0.95 (0.84, 1.08)","0.95 (0.81, 1.11)"
25-year climatological anomaly (full panel),Other flyway states,90,980.7,Soil moisture,"1.13 (0.92, 1.39)","1.08 (0.94, 1.24)","1.04 (0.90, 1.21)","1.01 (0.83, 1.22)"
25-year climatological anomaly (full panel),Other flyway states,90,980.7,Runoff,"0.98 (0.80, 1.20)","0.99 (0.87, 1.13)","1.00 (0.87, 1.14)","1.00 (0.84, 1.21)"
25-year climatological anomaly (full panel),Other flyway states,90,980.7,Wind speed,"1.22 (0.90, 1.65)","1.13 (0.93, 1.39)","1.09 (0.88, 1.33)","1.04 (0.79, 1.37)"
25-year climatological anomaly (full panel),Other flyway states,90,980.7,Anseriformes,"0.99 (0.79, 1.25)","1.08 (0.96, 1.23)","1.17 (1.04, 1.31)","1.27 (1.07, 1.50)"
25-year climatological anomaly (full panel),Pooled,175,1906.6,Temperature,"1.04 (0.89, 1.22)","1.01 (0.91, 1.12)","0.98 (0.88, 1.10)","0.96 (0.84, 1.10)"
