Predictor,Resolution,Type,lag_days,OR,OR_lo,OR_hi
Runoff,Daily,Lag-specific,0,1.00613323270018,0.915737512801323,1.10545223690464
Runoff,Daily,Lag-specific,1,1.01405565924604,0.930315225157223,1.1053338183035
Runoff,Daily,Lag-specific,2,1.02194620446365,0.94428851905678,1.10599040837735
Runoff,Daily,Lag-specific,3,1.0297081795894,0.95732690611435,1.10756203376432
Runoff,Daily,Lag-specific,4,1.03724205933862,0.969103462328233,1.110171546675
Runoff,Daily,Lag-specific,5,1.04444565195035,0.979337573631893,1.11388222942624
Runoff,Daily,Lag-specific,6,1.05121436749651,0.987847092516625,1.11864645328447
Runoff,Daily,Lag-specific,7,1.05744158813386,0.994587293491526,1.12426804528103
Runoff,Daily,Lag-specific,8,1.06301914311691,0.999652409016885,1.13040261638977
Runoff,Daily,Lag-specific,9,1.06783789024878,1.00323675762856,1.1365988648047
Runoff,Daily,Lag-specific,10,1.07178840401757,1.00557783258163,1.1423584985335
Runoff,Daily,Lag-specific,11,1.0747617689528,1.00690771392488,1.14718841064389
Runoff,Daily,Lag-specific,12,1.07665047474914,1.00742435562424,1.15063353224102
Runoff,Daily,Lag-specific,13,1.07734940746357,1.00727991119082,1.15229315393567
Runoff,Daily,Lag-specific,14,1.07675692862891,1.00657807499824,1.15182866798723
Runoff,Daily,Lag-specific,15,1.07480907598378,1.00537908925185,1.14903379448318
Runoff,Daily,Lag-specific,16,1.07157909395829,1.00371436135902,1.14403240485044
Runoff,Daily,Lag-specific,17,1.0671769916877,1.00156975706865,1.13708178941104
Runoff,Daily,Lag-specific,18,1.06171522637655,0.998882196647017,1.12850066374558
Runoff,Daily,Lag-specific,19,1.05530760203769,0.995537418449625,1.11866627439569
Runoff,Daily,Lag-specific,20,1.04806827025883,0.991365766516001,1.10801395027353
Runoff,Daily,Lag-specific,21,1.04011083946361,0.986142683464169,1.09703248476112
Runoff,Daily,Lag-specific,22,1.03154759657958,0.979605921638737,1.08624337654987
Runoff,Daily,Lag-specific,23,1.02248884274164,0.971503687689331,1.0761497323986
Runoff,Daily,Lag-specific,24,1.01304234267101,0.961674020362144,1.06715453086474
Runoff,Daily,Lag-specific,25,1.00331288569022,0.950121452643257,1.05948217861154
Runoff,Daily,Lag-specific,26,0.993401954966549,0.937037850328121,1.05315643736888
Runoff,Daily,Lag-specific,27,0.983407500516641,0.92275181949694,1.04805029005483
Runoff,Daily,Lag-specific,28,0.973423810740914,0.907647375147458,1.04396700884352
Runoff,Weekly,Lag-specific,0,1.36801011824611,1.04369739997028,1.79309796467541
Runoff,Weekly,Lag-specific,7,1.37721630267579,1.09169510899917,1.73741251446553
Runoff,Weekly,Lag-specific,14,1.38648444120261,1.10942037041292,1.73274185057684
Runoff,Weekly,Lag-specific,21,1.39581495075393,1.09171944168021,1.78461544455934
Runoff,Weekly,Lag-specific,28,1.40520825106287,1.04800752800444,1.88415653140881
Runoff,Daily,Cumulative,0,1.00613323270018,0.915737512801323,1.10545223690464
Runoff,Daily,Cumulative,1,1.02027509857513,0.852065255820723,1.22169196509463
Runoff,Daily,Cumulative,2,1.04266626449762,0.805064850974352,1.35039175763998
Runoff,Daily,Cumulative,3,1.07364198113512,0.771754632568867,1.49361863863239
Runoff,Daily,Cumulative,4,1.11362661950499,0.749835850830622,1.65391431510823
Runoff,Daily,Cumulative,5,1.16312248063815,0.737499891436957,1.83437844625296
Runoff,Daily,Cumulative,6,1.22269106280501,0.733280648482217,2.03874660835197
Runoff,Daily,Cumulative,7,1.29292437924961,0.735941380652265,2.27144918658659
Runoff,Daily,Cumulative,8,1.37440336574489,0.74438922517829,2.53763024487419
Runoff,Daily,Cumulative,9,1.46763999042785,0.757613088680481,2.8430965273509
Runoff,Daily,Cumulative,10,1.57299952301302,0.774641902166603,3.19415654185338
Runoff,Daily,Cumulative,11,1.69059974991539,0.79452036524583,3.59729925051029
Runoff,Daily,Cumulative,12,1.82018502335718,0.81629868097783,4.05865352530659
Runoff,Daily,Cumulative,13,1.96097525638793,0.839031952558735,4.58316747584952
Runoff,Daily,Cumulative,14,2.11149369418556,0.861784429690436,5.1734580795187
Runoff,Daily,Cumulative,15,2.26945258639316,0.883654433529283,5.82853980748563
Runoff,Daily,Cumulative,16,2.43189794630848,0.903850919618536,6.543255633081
Runoff,Daily,Cumulative,17,2.59526553443297,0.921692924621308,7.30764337480731
Runoff,Daily,Cumulative,18,2.75543293439776,0.936586414405978,8.10647105187754
Runoff,Daily,Cumulative,19,2.90782932257499,0.948002850549606,8.91924677686869
Runoff,Daily,Cumulative,20,3.04760364831908,0.955460827558062,9.72084645373215
Runoff,Daily,Cumulative,21,3.16984558900553,0.958511863896793,10.4828343149435
Runoff,Daily,Cumulative,22,3.26984659886704,0.95673125714728,11.1754442015439
Runoff,Daily,Cumulative,23,3.34338166481823,0.949714915116207,11.7700593922703
Runoff,Daily,Cumulative,24,3.38698719417076,0.937083225017647,12.2419033306895
Runoff,Daily,Cumulative,25,3.39820789557929,0.918493228433012,12.57256618133
Runoff,Daily,Cumulative,26,3.37578636685123,0.893660473456364,12.7519722904866
Runoff,Daily,Cumulative,27,3.31977363330333,0.862391680932226,12.7794565045695
Runoff,Daily,Cumulative,28,3.23154670092733,0.824628463290175,12.6637565220686
Runoff,Weekly,Cumulative,0,1.36801011824611,1.04369739997028,1.79309796467541
Runoff,Weekly,Cumulative,7,1.88404583707398,1.14627658375806,3.09665988688206
Runoff,Weekly,Cumulative,14,2.61220023961563,1.30108027787655,5.24455731738899
Runoff,Weekly,Cumulative,21,3.6461481488185,1.49111194804102,8.91576004108768
Runoff,Weekly,Cumulative,28,5.12359746331737,1.68066315491287,15.6195790271092
Soil Moisture,Daily,Lag-specific,0,1.06608765639131,0.92332856656073,1.23091923316461
Soil Moisture,Daily,Lag-specific,1,1.06803967292899,0.936985448173058,1.21742418217318
Soil Moisture,Daily,Lag-specific,2,1.06991959523725,0.949969908969662,1.20501494780421
Soil Moisture,Daily,Lag-specific,3,1.07165123943639,0.961900817693177,1.19392390344331
Soil Moisture,Daily,Lag-specific,4,1.07315797790579,0.972375286973642,1.1843863793857
Soil Moisture,Daily,Lag-specific,5,1.07436287206547,0.981004384065958,1.17660593532593
Soil Moisture,Daily,Lag-specific,6,1.07518885999129,0.987474397057967,1.17069474215595
Soil Moisture,Daily,Lag-specific,7,1.07555899887818,0.991622968922597,1.16659980287138
Soil Moisture,Daily,Lag-specific,8,1.07539676193757,0.993496159285329,1.1640489847668
Soil Moisture,Daily,Lag-specific,9,1.07462638877996,0.99334728621392,1.16255602797667
Soil Moisture,Daily,Lag-specific,10,1.07317328769401,0.991571219734013,1.16149085663146
Soil Moisture,Daily,Lag-specific,11,1.07096448749568,0.988610477636784,1.16017881604759
Soil Moisture,Daily,Lag-specific,12,1.06792913579331,0.984876650338871,1.15798525498989
Soil Moisture,Daily,Lag-specific,13,1.06399903960755,0.98070474465141,1.15436777731527
Soil Moisture,Daily,Lag-specific,14,1.05910924331444,0.976332991272101,1.14890349839819
Soil Moisture,Daily,Lag-specific,15,1.05322346588583,0.971885780702135,1.14136834916051
Soil Moisture,Daily,Lag-specific,16,1.04640791675428,0.967345716054904,1.13193195573513
Soil Moisture,Daily,Lag-specific,17,1.03875455745589,0.962576307815826,1.12096155065749
Soil Moisture,Daily,Lag-specific,18,1.0303553178657,0.957334729514892,1.10894554258163
Soil Moisture,Daily,Lag-specific,19,1.02130146407066,0.951275544498607,1.09648217758257
Soil Moisture,Daily,Lag-specific,20,1.01168303805305,0.943968643120962,1.08425483933484
Soil Moisture,Daily,Lag-specific,21,1.0015883701101,0.934956285564665,1.07296916297422
Soil Moisture,Daily,Lag-specific,22,0.991103663795896,0.923862985859633,1.06323825872908
Soil Moisture,Daily,Lag-specific,23,0.98031265218513,0.910524583833274,1.05544969690814
Soil Moisture,Daily,Lag-specific,24,0.969296323428465,0.895054683306476,1.04969604666068
Soil Moisture,Daily,Lag-specific,25,0.958132712894025,0.877798836136397,1.04581853805855
Soil Moisture,Daily,Lag-specific,26,0.946896758664939,0.859219998382817,1.04352025471676
Soil Moisture,Daily,Lag-specific,27,0.935660216781551,0.839793789738902,1.04247024920235
Soil Moisture,Daily,Lag-specific,28,0.924491632370015,0.819950048213695,1.04236200752003
Soil Moisture,Weekly,Lag-specific,0,1.21404929823222,0.483197510658302,3.05033793847594
Soil Moisture,Weekly,Lag-specific,7,1.56054512579647,0.754711319600225,3.22679814970458
Soil Moisture,Weekly,Lag-specific,14,2.00593262002882,1.08489003289527,3.70891570029209
Soil Moisture,Weekly,Lag-specific,21,2.57843596419042,1.37110264271536,4.84889446953739
Soil Moisture,Weekly,Lag-specific,28,3.31433466660265,1.536417641448,7.14962780034956
Soil Moisture,Daily,Cumulative,0,1.06608765639131,0.92332856656073,1.23091923316461
Soil Moisture,Daily,Cumulative,1,1.1386239118458,0.865288702703605,1.49830271512412
Soil Moisture,Daily,Cumulative,2,1.21823603488952,0.822485424852022,1.80440770360198
Soil Moisture,Daily,Cumulative,3,1.30552415671542,0.79225920042273,2.15130770694502
