Predictor,Resolution,Type,lag_days,OR,OR_lo,OR_hi
Runoff,Daily,Lag-specific,0,0.972355962599872,0.855348163992772,1.10536990409851
Runoff,Daily,Lag-specific,1,0.983527527268853,0.874575381391758,1.10605262562528
Runoff,Daily,Lag-specific,2,0.994713700205415,0.893269501903488,1.1076784142612
Runoff,Daily,Lag-specific,3,1.00579706394392,0.911024384564547,1.11042882164099
Runoff,Daily,Lag-specific,4,1.01665512341546,0.927421116539091,1.11447499041645
Runoff,Daily,Lag-specific,5,1.02716050426215,0.942074787532358,1.11993093911331
Runoff,Daily,Lag-specific,6,1.03718130523822,0.954698437644664,1.12679042671278
Runoff,Daily,Lag-specific,7,1.0465816135493,0.965161950404236,1.13486972146042
Runoff,Daily,Lag-specific,8,1.05522219050009,0.973513975139496,1.1437882760381
Runoff,Daily,Lag-specific,9,1.06296133275886,0.979951578774435,1.15300267830944
Runoff,Daily,Lag-specific,10,1.06965591188446,0.984755161167615,1.16187638810925
Runoff,Daily,Lag-specific,11,1.0751625914926,0.988222166120019,1.16975173981748
Runoff,Daily,Lag-specific,12,1.07933921757763,0.990621574937412,1.17600219506092
Runoff,Daily,Lag-specific,13,1.08204637309248,0.99217161172346,1.18006233970835
Runoff,Daily,Lag-specific,14,1.08314908298777,0.99303244467471,1.18144371039313
Runoff,Daily,Lag-specific,15,1.08255991041021,0.993310515950684,1.17982840290955
Runoff,Daily,Lag-specific,16,1.08036396570468,0.993072771147431,1.17532806487539
Runoff,Daily,Lag-specific,17,1.07669412898873,0.99232838805866,1.16823247359348
Runoff,Daily,Lag-specific,18,1.07168798524612,0.991027498933266,1.1589134902484
Runoff,Daily,Lag-specific,19,1.06548612610145,0.989059396170748,1.14781851252812
Runoff,Daily,Lag-specific,20,1.05823059763135,0.986245253224538,1.13547010148017
Runoff,Daily,Lag-specific,21,1.05006350855057,0.982330547469225,1.12246674485513
Runoff,Daily,Lag-specific,22,1.04112580824409,0.976988950657457,1.10947308857738
Runoff,Daily,Lag-specific,23,1.03155623971912,0.969858650943252,1.0971787225577
Runoff,Daily,Lag-specific,24,1.02149046869022,0.960630766875493,1.08620586973163
Runoff,Daily,Lag-specific,25,1.01106038672784,0.949173810752276,1.07698199637437
Runoff,Daily,Lag-specific,26,1.00039358371424,0.935619936554999,1.06965155747062
