"outbreak_id","linkage","flyway","type","link","state","premises","reassort","genotype","prior_infection","prior_link","epi_notes","date_analyzed","herd_flock_type","production_type","species","st_prem","date_presumptive","date_confirmed","prem_id","lon","lat","state_fips","county_fips","county_name"
1,"","PAC","Non","IND","AK","Bethel 01","PB2 NP","B4.1","","","",2022-08-12,"Backyard","Backyard Producer","OIE NP","AK Bethel 01",2022-08-01,2022-08-02,"00RKA16",-159.52421,61.5783,"02","02050","Bethel Census Area"
2,"","PAC","Non","IND","AK","Matanuska Susitna 01","PB2 NP","B4.1","","","",2022-05-09,"Backyard","Backyard Producer","OIE NP","AK Matanuska-Susitna 01",NA,2022-04-29,"00RCJKV",-149.32593,61.56419,"02","02170","Matanuska-Susitna Borough"
3,"","PAC","Non","IND","AK","Matanuska-Susitna 02","PB2 PB1 NP NS","B3.2","","","",2022-11-13,"Backyard","Backyard Producer","OIE NP","AK Matanuska-Susitna 02",2022-09-29,2022-10-05,"00RNYU7",-149.50473,61.52741,"02","02170","Matanuska-Susitna Borough"
4,"","PAC","Poultry","IND","AK","Matanuska-Susitna 03","PB2 PB1 NP NS","Minor18","","","",2022-11-13,"Backyard","Backyard Producer","Duck","AK Matanuska-Susitna 03",2022-10-01,2022-10-05,"00RP4FW",-149.74665,61.45736,"02","02170","Matanuska-Susitna Borough"
5,"","PAC","Poultry","IND","AK","Matanuska-Susitna 04","PB2 PB1 NP NS","B3.2","","","",2022-10-30,"Backyard","Backyard Producer","Chicken","AK Matanuska-Susitna 04",2022-10-12,2022-10-14,"00RPQ8W",-149.69537,61.60836,"02","02170","Matanuska-Susitna Borough"
6,"","PAC","Non","IND","AK","Matanuska-Susitna 05","PB2 PB1 NP NS","B3.2","","","",2022-12-05,"Backyard","Backyard Producer","OIE NP","AK Matanuska-Susitna 05",NA,2022-11-25,"00RS33W",-149.30676,61.58905,"02","02170","Matanuska-Susitna Borough"
7,"","MISS","Poultry","IND","AL","Lawrence 01","PB2 NP NS","B2.2","","","",2022-12-12,"Backyard","WOAH Non-Poultry","Poultry","AL Lawrence 01",2022-12-01,2022-12-05,"00RSCTG",-87.34351,34.54154,"01","01079","Lawrence County"
8,"","MISS","Non","IND","AR","Arkansas 01","PB2 NP NS","B2.2","","","",2022-12-20,"Backyard","WOAH Non-Poultry","Poultry","AR Arkansas 01",2022-11-30,2022-12-01,"00RS778",-91.29332,34.38161,"05","05001","Arkansas County"
9,"","MISS","Poultry","IND","AR","Madison 01","PB2 PB1 NP NS","B3.2","","","",2022-11-13,"Commercial","Commercial Broiler Breeder Pullets","Chicken","AR Madison 01",2022-10-06,2022-10-07,"00Q5E53",-93.85937,36.15922,"05","05087","Madison County"
10,"","MISS","Non","IND","AR","Pope 01","PB2 PB1 NP NS","B3.2","","","",2022-10-30,"Backyard","Backyard Producer","OIE NP","AR Pope 01",2022-10-13,2022-10-14,"00RPTJX",-92.9857,35.22707,"05","05115","Pope County"
