"species_code","common_name","spec_source"
"ambduc","American Black Duck","common-anseriform"
"amwpel","American White Pelican","2022-hpai-detects"
"baleag","Bald Eagle","2022-hpai-detects"
"brdowl","Barred Owl","2022-hpai-detects"
"buffle","Bufflehead","common-anseriform"
"buwtea","Blue-winged Teal","common-anseriform"
"cangoo","Canada Goose","common-anseriform"
"comgol","Common Goldeneye","common-anseriform"
"commer","Common Merganser","common-anseriform"
"gadwal","Gadwall","common-anseriform"
"gnwtea","Green-winged Teal","common-anseriform"
"grhowl","Great Horned Owl","2022-hpai-detects"
"lessca","Lesser Scaup","common-anseriform"
"mallar3","Mallard","common-anseriform"
"norsho","Northern Shoveler","common-anseriform"
"rebmer","Red-breasted Merganser","common-anseriform"
"rethaw","Red-tailed Hawk","2022-hpai-detects"
"rinduc","Ring-necked Duck","common-anseriform"
"rudduc","Ruddy Duck","common-anseriform"
"truswa","Trumpeter Swan","2022-hpai-detects"
"wooduc","Wood Duck","common-anseriform"
